Car.v,DistanceKm,Driver.Brake,Driver.Gas,Fefficiency,FullBatteryCapacity,PT.BattHV.Energy,PT.BattHV.Temp,Time,UsedCapacity,Vhcl.Distance,Vhcl.v
0,0,0,0,-2147483648,24.0002,24.0002,0,0,0,0,0
1.8526004,0.000605964,0,0.45122734,4573,24.0002,23.997417,0,1,0.002777102,0.60781692,1.8526004
4.8481669,0.0039538,0,0.45431058,2693,24.0002,23.98953,0,2,0.010660319,3.9586478,4.8481669
7.7684984,0.010291479,0,0.38751646,2018,24.0002,23.979412,0,3,0.020781399,10.299247,7.7684984
9.5372021,0.019051805,0,0.21969124,1303,24.0002,23.97536,0,4,0.024837132,19.061342,9.5372021
10.372786,0.029058226,0,0.13868492,914,24.0002,23.973635,0,5,0.026564252,29.068599,10.372786
10.767017,0.039652419,0,0.10059275,691,24.0002,23.972769,0,6,0.027430087,39.663186,10.767017
10.951996,0.050523476,0,0.08263859,554,24.0002,23.972203,0,7,0.027996707,50.534428,10.951996
11.037688,0.061523773,0,0.074301808,463,24.0002,23.971711,0,8,0.028488016,61.534811,11.037688
11.076814,0.072583554,0,0.070514471,399,24.0002,23.971217,0,9,0.028982289,72.594631,11.076814
11.094508,0.083670371,0,0.068799605,352,24.0002,23.970702,0,10,0.029497259,83.681466,11.094508
11.102421,0.094769363,0,0.068029557,316,24.0002,23.970167,0,11,0.030032128,94.780466,11.102421
11.105878,0.10587375,0,0.067706724,288,24.0002,23.969617,0,12,0.030582716,105.88486,11.105878
11.107342,0.11698047,0,0.067593158,266,24.0002,23.969055,0,13,0.031144767,116.99157,11.107342
11.108001,0.12808817,0,0.067548917,247,24.0002,23.968486,0,14,0.031713708,128.09928,11.108001
11.108368,0.13919637,0,0.067507297,231,24.0002,23.967914,0,15,0.032285385,139.20747,11.108368
11.109026,0.15030509,0,0.067292191,218,24.0002,23.96735,0,16,0.032849651,150.3162,11.109026
11.109312,0.16141428,0,0.0671316,206,24.0002,23.96679,0,17,0.033409454,161.42539,11.109312
11.109492,0.17252368,0,0.067000691,196,24.0002,23.966234,0,18,0.033965916,172.53479,11.109492
11.109704,0.18363327,0,0.06686263,187,24.0002,23.965681,0,19,0.034517987,183.64438,11.109704
11.109935,0.19474309,0,0.06672073,180,24.0002,23.965134,0,20,0.035065286,194.7542,11.109935
11.110147,0.20585314,0,0.066592745,172,24.0002,23.964591,0,21,0.035608457,205.86425,11.110147
11.110333,0.21696338,0,0.066485224,166,24.0002,23.964051,0,22,0.036148326,216.97449,11.110333
11.110448,0.22807378,0,0.066405761,160,24.0002,23.963514,0,23,0.036685924,228.08489,11.110448
11.110349,0.2391842,0,0.06638473,155,24.0002,23.962976,0,24,0.037223664,239.19531,11.110349
11.109026,0.25029407,0,0.066623687,150,24.0002,23.962428,0,25,0.03777146,250.30518,11.109026
